url_domain,url_subdomain,url_suffix,whois_registrar,whois_server_domain,whois_server_subdomain,whois_server_org,whois_org,url_domain_ip
cmapower,,com,"Register.com, Inc.",register,whois,com,,20720420240
locatetv,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Cisco Technology Inc.,4515918815
brainyquote,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1042263223
famouswhy,people,com,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,8520422108
blogspot,greenmourning,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
reference,,com,MarkMonitor Inc.,markmonitor,whois,com,,1511016114
coursehero,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",104179347
whockey,,com,"BRANDON GRAY INTERNET SERVICES, INC. DBA NAMEJUICE.COM",namejuice,whois,com,Private Registration,64291459
pressherald,obituaries,com,"Network Solutions, LLC",networksolutions,whois,com,,104261186
cjfl,,net,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",50632029
dvd-copy,,com,"GoDaddy.com, LLC",godaddy,whois,com,SHAWN REIMERDES,5221699178
pitchfork,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Advance Magazine Publishers, Inc.",15110120239
blogspot,kingfish1935,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
docstoc,,com,"GoDaddy.com, LLC",godaddy,whois,com,Intuit Inc.,18416822161
cynthiawoodmusic,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2323662147
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
erikmongrain,,com,1&1 IONOS SE,ionos,whois,com,,2323662147
cortera,start,com,"GoDaddy.com, LLC",godaddy,whois,com,"Cortera, Inc.",121308158
thefightnerd,,com,"DreamHost, LLC",dreamhost,whois,com,,649044236
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
vakantiehuisinauvergne,,com,REALTIME REGISTER B.V.,yoursrs,whois,com,REDACTED FOR PRIVACY,18518257123
verbungle,,com,XINNET TECHNOLOGY CORPORATION,paycenter,whois,com.cn,REDACTED FOR PRIVACY,156247518
meetup,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Meetup, Inc.",1511012110
city-data,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Advameg, Inc.",16962184199
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
fcamerica,,org,"GoDaddy.com, LLC",godaddy,whois,com,FC America,18416822192
filmreference,,com,NAMECHEAP INC,namecheap,whois,com,"Advameg, Inc.",2322716971
sportingnews,aol,com,Safenames Ltd,safenames,whois,net,,18542236155
jerseyal,,com,"GoDaddy.com, LLC",godaddy,whois,com,Open Systems Computing Corp.,184168131241
wordpress,thepenguinsofmadagascar,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Automattic, Inc.",19207817
exchangedictionary,,com,"GoDaddy.com, LLC",godaddy,whois,com,,107180942
redbrokerage,,com,"Network Solutions, LLC",networksolutions,whois,com,,15110166159
google,sites,com,MarkMonitor Inc.,markmonitor,whois,com,,74125138102
gzymca,,org,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,YMCA of Guangzhou,19311282123
montrealgazette,blogs,com,WEBNAMES.CA INC,webnames,whois,ca,Postmedia Network Inc.,3518388254
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
genealogy,genforum,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560108104
mafia-news,,com,MAFF Inc.,maff,whois,com,,168206246177
blackdiamondequipment,,com,"Network Solutions, LLC",networksolutions,whois,com,,10714426
ultimate-guitar,,com,"Network Solutions, LLC",networksolutions,whois,com,,1781822152
kngine,,com,1&1 IONOS SE,ionos,whois,com,Kngine Inc.,3421745201
lajaniquerafm,,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,NARANHOSTING,1076182209
infokwik,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,20894240210
suengineers,,com,"Chengdu west dimension digital technology Co., LTD",west,whois,cn,REDACTED FOR PRIVACY,10414913617
in,ibnlive,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,Network18 Media and Investments Ltd.,12415364161
phonesbook,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"PeopleConnect, Inc.",651245556
dyestat,,com,"GoDaddy.com, LLC",godaddy,whois,com,,1042829234
pixielily,,com,"Register.com, Inc.",register,whois,com,,232273832
ancestry,boards,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560169132
california-map,,org,Moniker Online Services LLC,rrpproxy,whois,net,State Maps,216277189
yellowpages,,com,Moniker Online Services LLC,moniker,whois,com,REDACTED FOR PRIVACY,20893105173
plaxo,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Comcast Corporation,20415241188
cnajs,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,271216476
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
ranker,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Ranker, C-Corp.",1923331160
theaudiobookstore,,com,1&1 IONOS SE,ionos,whois,com,DME Media LLC,199119127176
metrometalsnw,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",64418739
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
bearhollowwoodcarvers,,com,"GoDaddy.com, LLC",godaddy,whois,com,,10718046144
drivermax,,com,"GoDaddy.com, LLC",godaddy,whois,com,Innovative Solutions GRUP,663623130
lyrics,,com,"GoDaddy.com, LLC",godaddy,whois,com,STANDS4 LLC,5201217
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,1322645125
brainwashed,,com,"Network Solutions, LLC",networksolutions,whois,com,,7511921433
nola,,com,"Network Solutions, LLC",networksolutions,whois,com,,192104183209
downf468,dl,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",17323956
mirandarights,,org,NameSecure L.L.C.,web,whois,com,"Electric Lemonade, L.L.C.",1841065531
mped,interactives,org,"MarkMonitor, Inc.",markmonitor,whois,com,Verizon Business Global LLC,20825421210
facebook,en-gb,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
drnormanweinstein,,com,"NameSilo, LLC",namesilo,whois,com,See PrivacyGuardian.org,10415216813
theartsdesk,,com,123-Reg Limited,meshdigital,whois,com,The Arts Desk Ltd,133511834
rottentomatoes,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Fandango Media, LLC",10471236220
mutualart,,com,"GoDaddy.com, LLC",godaddy,whois,com,,5220910204
citizendium,en,org,"GoDaddy.com, LLC",godaddy,whois,com,,20811736162
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
jaiku,caseymckinnon,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125136141
einnews,realestate,com,"GoDaddy.com, LLC",godaddy,whois,com,IPD Group,173203107239
telus,,net,"MarkMonitor, Inc.",markmonitor,whois,com,TELUS Corporation,541654178
baseball-almanac,,com,"Network Solutions, LLC",networksolutions,whois,com,,20884118200
winnipegfreepress,,com,"TUCOWS, INC.",tucows,whois,com,REDACTED FOR PRIVACY,52444261
in,connect,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,Network18 Media and Investments Ltd.,12415364161
twitter,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Twitter, Inc.",1042444265
last,,fm,"MarkMonitor, Inc.",markmonitor,whois,com,Last.fm Ltd.,6430224246
docanswer,,com,"GoDaddy.com, LLC",godaddy,whois,com,,506320233
transnationale,,org,OVH,ovh,whois,com,+33.100,2131863316
absoluteastronomy,,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,21655179243
googlewebcache,images,com,"Epik, Inc.",epik,whois,com,"Anonymize, Inc.",10424121209
blockbuster,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Blockbuster Purchasing, LLC",661702504
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
perezhilton,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",104314156
turkcebilgi,english,com,"GoDaddy.com, LLC",godaddy,whois,com,Sawis Bilisim A.S.,13820113019
ccshades,,com,"GoDaddy.com, LLC",godaddy,whois,com,creative custom shades inc,10718050214
tripod,mahenip,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Lycos, Inc",20920225255
proboards,retrorides,com,"GoDaddy.com, LLC",godaddy,whois,com,"ProBoards, Inc.",1041617619
prnewswire,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,PR Newswire Association LLC,1992302815
docstoc,,com,"GoDaddy.com, LLC",godaddy,whois,com,Intuit Inc.,18416822161
songmeanings,,net,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,6618174226
yasni,,com,Hetzner Online GmbH,your-server,whois,de,REDACTED FOR PRIVACY,212193660
yahoo,answers,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,98138219231
blogspot,nerneyfamily,com,MarkMonitor Inc.,markmonitor,whois,com,,64233185191
countryconcert,,com,"Network Solutions, LLC",networksolutions,whois,com,,72167226220
helixcommunity,musicbrainz,org,"Alibaba Cloud Computing (Beijing) Co., Ltd.",pir,whois,org,bei jing rui ao shi ke ji you xian gong si,1012001248
onlineworldofwrestling,,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,10426454
photographyblogger,,net,1API GmbH,1api,whois,net,Registrant of photographyblogger.net,1929977107
findagrave,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560169132
mdavidshapiro,,com,"GoDaddy.com, LLC",godaddy,whois,com,,50632211
slantmagazine,,com,"Register.com, Inc.",register,whois,com,,104268141
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
last,,fm,"MarkMonitor, Inc.",markmonitor,whois,com,Last.fm Ltd.,6430224246
mp3lyrics,letrascanciones,org,GANDI SAS,gandi,whois,net,MUSICMASS SANDBAKKEN,2177018438
allposters,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Art.com, Inc.",2047499100
yellowpages,,com,Moniker Online Services LLC,moniker,whois,com,REDACTED FOR PRIVACY,20893105173
procuts,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Regis Corporation,20463160109
blogspot,livefromhellsbasement,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
pressherald,obituaries,com,"Network Solutions, LLC",networksolutions,whois,com,,104261186
wn,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,19514984100
tollbrothers,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Toll Brothers Inc.,18215141251
armentertainment,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,17325428185
truenomads,,com,FastDomain Inc.,bluehost,whois,com,"THE ENDURANCE INTERNATIONAL GROUP, INC.",162241244201
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
spinner,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,746136150
flickr,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"SmugMug, Inc.",1322647223
bio-medicine,,org,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1841682782
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
caribbean-on-line,,com,"Network Solutions, LLC",networksolutions,whois,com,,162209537
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
us-places,,com,"Wild West Domains, LLC",wildwestdomains,whois,com,,17413811449
mlbfansite,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Fanatics Inc.,964582193
photovault,,com,"Network Solutions, LLC",networksolutions,whois,com,,1769636
bridgewebs,,com,MESH DIGITAL LIMITED,meshdigital,whois,com,BridgeWebs,6213813144
doctoroogle,,com,"Cloudflare, Inc.",cloudflare,whois,com,DATA REDACTED,10424125143
barkeranimation,,com,"GoDaddy.com, LLC",godaddy,whois,com,Barker Animation Art Gallery,50237118152
cadbury,collaboration,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Mondelez International, Inc.",521781971
wikipilipinas,en,org,"Network Solutions, LLC",networksolutions,whois,com,,5425147100
blogspot,tidbitsphotos,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
hbdirect,,com,"GoDaddy.com, LLC",godaddy,whois,com,Naxos of America Inc.,173208165123
youtube,,com,MarkMonitor Inc.,markmonitor,whois,com,,6423317791
ranker,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Ranker, C-Corp.",1923331160
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
usa,secure.square-enix.com.login-srok,cc,"Tiger Shark Domains, LLC",web,whois,com,,691623042
water-damage,,org,"GoDaddy.com, LLC",godaddy,whois,com,,3520884206
aviationweek,,com,Safenames Ltd,safenames,whois,net,,1821412120
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
divareport,blog,com,"TurnCommerce, Inc. DBA NameBright.com",NameBright,whois,com,HugeDomains.com,232023912
yelp,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Yelp Inc.,104165723
pakvideotv,,com,"Chengdu west dimension digital technology Co., LTD",west,whois,cn,REDACTED FOR PRIVACY,164155184227
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",17632103205
talk-sports,,net,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",20810924020
allstarpics,,net,INWX GmbH & Co. KG,domrobot,whois,com,,174345678
blogspot,juliarobinsonphoto,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
synagoga,,org,OVH,ovh,whois,com,,25713720
realtor,,com,"Register.com, Inc.",register,whois,com,,20613118021
onlineprosports,,com,"Chengdu west dimension digital technology Co., LTD",west,whois,cn,REDACTED FOR PRIVACY,14291115238
zimbio,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242283824,151101130217
nhl,devils,com,Moniker Online Services LLC,moniker,whois,com,REDACTED FOR PRIVACY,82073150
twitter,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Twitter, Inc.",1042444265
gogriffons,,com,"Network Solutions, LLC",networksolutions,whois,com,,9812990234
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
go,espn,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Disney Enterprises, Inc.",2323660174
tributes,hosting-24988,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",655227140
justaspens,,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,667193146
jenniesbasketballcamps,,com,GANDI SAS,gandi,whois,net,"Camp Marketing Services, LLC",13328547
yahoo,travel,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,98138219231
snizzshare,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Various, Inc",184168131241
shakuhachi,,com,"TUCOWS, INC.",tucows,whois,com,REDACTED FOR PRIVACY,21676569
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
askart,,com,"Network Solutions, LLC",networksolutions,whois,com,,63131147116
imdb,,com,MarkMonitor Inc.,markmonitor,whois,com,,5294228167
glenviewstars,,org,"GoDaddy.com, LLC",godaddy,whois,com,Glenview Stars Hockey Association,542082121
agatethemoose,,com,"GoDaddy.com, LLC",godaddy,whois,com,Lake Superior Magazine,10718050228
jazzguitarblog,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,21658194211
mlssoccer,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Major League Soccer, L.L.C.",15110119410
famouswhy,people,com,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,8520422108
about,politicalhumor,com,"MarkMonitor, Inc.",markmonitor,whois,com,"About, Inc.",151101130114
kingstondines,,com,Internet Domain Service BS Corp.,internet,whois,bs,,53959164
bandcamp,cosmicsingularity,com,TIERRANET INC. DBA DOMAINDISCOVER,domaindiscover,whois,com,"Bandcamp, Inc.",151101128
slaterarts,,com,"GoDaddy.com, LLC",godaddy,whois,com,SlaterArts,18416822143
ballymenafpc,,org,Mesh Digital Limited,meshdigital,whois,com,Ballymena Free Presbyterian Church,77104175200
yahoo,answers,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,98138219231
charlesskorina,,com,"Network Solutions, LLC",networksolutions,whois,com,,6722215157
legacy,,com,"Network Solutions, LLC",networksolutions,whois,com,,2161464610
linkedin,ca,com,"MarkMonitor, Inc.",markmonitor,whois,com,LinkedIn Corporation,1081741010
wikinfo,,org,"eNom, Inc.",enom,whois,com,,206196111205
hfboards,,com,"GoDaddy.com, LLC",godaddy,whois,com,"CraveOnline Media, LLC",104317416
manta,,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,19222520819
military-money-matters,,com,"TUCOWS, INC.",tucows,whois,com,REDACTED FOR PRIVACY,173247219172
ancestry,rootsweb,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560169132
filestube,,com,Instra Corporation Pty Ltd.,instra,whois,net,REDACTED FOR PRIVACY,212145021
royalgateenergy,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,5028158
tbr-d,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1071802153
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
myspace,,com,"Network Solutions, LLC",networksolutions,whois,com,,631359070
ectoguide,,org,"TUCOWS, INC.",tucows,whois,com,"['Wasilko Networks', 'REDACTED FOR PRIVACY']",19920114578
genealogy,genforum,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560108104
wikipedia,en,org,MarkMonitor Inc.,markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
livethedreamevent,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Upward Enterprises, LLC",104318353
makesmethink,,com,FastDomain Inc.,bluehost,whois,com,,964583215
superchevy,,com,"GoDaddy.com, LLC",godaddy,whois,com,TEN  A Discovery Communications Company,1322645115
avvo,,com,"Wild West Domains, LLC",wildwestdomains,whois,com,"Avvo, Inc.",151101065
foxyfemalecelebs,,com,"Sea Wasp, LLC",fabulous,whois,com,"Savvy Investments, LLC Privacy ID# 859253",1041712370
sovereigngrounds,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",15723073109
metalinjection,,net,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1241958462,4579137166
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",205251242103
wikia,ahl,com,"TUCOWS, INC.",tucows,whois,com,Contact Privacy Inc. Customer 0130027609,151101192194
bhejacry,,com,"GoDaddy.com, LLC",godaddy,whois,com,sinton,108179201197
bluestraveler,,net,"GoDaddy.com, LLC",godaddy,whois,com,,1921853571
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
vlarealtors,,com,"GoDaddy.com, LLC",godaddy,whois,com,Valerie Levy and Associates Lt,541721847
catholic,oce,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",1042610139
geointeres,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",198712323
ancestry,freepages.genealogy.rootsweb,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560169132
twitter,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Twitter, Inc.",1042444265
techsideline,,com,"GoDaddy.com, LLC",godaddy,whois,com,"SportsWar, LLC",20874844
urbandictionary,,com,NAMECHEAP INC,namecheap,whois,com,Urban Dictionary LLC,151101192207
coolridesofohio,,com,"GoDaddy.com, LLC",godaddy,whois,com,Printers Edge,2044419277
wordpress,junkwaxgems,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Automattic, Inc.",19207817
petrucocirteu,,com,1&1 IONOS SE,ionos,whois,com,1&1 Internet Inc,74208236150
youtube,,com,MarkMonitor Inc.,markmonitor,whois,com,,6423317791
womentalksports,,com,"GoDaddy.com, LLC",godaddy,whois,com,Erigena LTD,81192153
bharatbook,,com,"TUCOWS, INC.",tucows,whois,com,REDACTED FOR PRIVACY,1031496172
nj,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Advance Local Media,3423720225
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",205251242103
gaorthostudio,,com,FastDomain Inc.,bluehost,whois,com,,742201996
bumbocubeb,,net,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,1841051922
thefreedictionary,acronyms,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242241663,209160675
meds-zone,,com,"GoDaddy.com, LLC",godaddy,whois,com,NameFind LLC,35186238101
charlestoncitypaper,,com,"Network Solutions, LLC",networksolutions,whois,com,,2091045156
allmoviephoto,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,IGN Entertainment Inc.,1651601320
sportsvideo,,org,TIERRANET INC. DBA DOMAINDISCOVER,domaindiscover,whois,com,,35208252221
d9soft,url,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",691769581
alexanderpalace,forum,org,"GoDaddy.com, LLC",godaddy,whois,com,,19225416185
brothersjudd,,com,"GoDaddy.com, LLC",godaddy,whois,com,Brothers Judd Recommended Reading,18417510333
azinet,,com,"Network Solutions, LLC",networksolutions,whois,com,,742081023
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
reelviews,,net,"Network Solutions, LLC",networksolutions,whois,com,,1984683186
austriahungary,,info,"GoDaddy.com, LLC",godaddy,whois,com,,16817765
oakwebworks,tickets,com,"Network Solutions, LLC",networksolutions,whois,com,,1071804712
losslessalbum,,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,"Privacy Protect, LLC (PrivacyProtect.org)",457919196
alnewmandesign,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",217160223143
findstoragefast,uniontown-pa,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,10413059192
macthemes,,net,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",10427187252
wordpress,dvera,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Automattic, Inc.",19207817
lori-singer,,com,"TUCOWS, INC.",tucows,whois,com,Contact Privacy Inc. Customer 0146336904,6696146129
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
fanpix,,net,INWX GmbH & Co. KG,domrobot,whois,com,,174345678
myspace,,com,"Network Solutions, LLC",networksolutions,whois,com,,631359070
mexicofirstclass,,com,"GoDaddy.com, LLC",godaddy,whois,com,,1439525183
tvguide,,com,"MarkMonitor, Inc.",markmonitor,whois,com,CBS Interactive Inc.,6430228101
youtube,,com,MarkMonitor Inc.,markmonitor,whois,com,,6423317791
powells,,com,"Cloudflare, Inc.",cloudflare,whois,com,DATA REDACTED,130250131110
dogsindia,,com,"GoDaddy.com, LLC",godaddy,whois,com,SURESH BHIMSINGH,10718046189
waterlooregionmuseum,,com,Rebel.ca,Rebel,whois,ca,Region of Waterloo,19223729215
newsok,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Gatehouse Media, LLC",13328548
nytimes,,com,MarkMonitor Inc.,markmonitor,whois,com,,151101129164
casolalandscaping,kleedkamersinkiness,com,"GoDaddy.com, LLC",godaddy,whois,com,A casola farms,506320274
falltvpreview,,com,"SNAPNAMES 43, LLC",web,whois,com,,209996470
organtranspl,,com,JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD,55hl,whois,com,REDACTED FOR PRIVACY,1241736892
netscape,boards.ancestry,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,746136153
technologyloop,,com,"ANNULET, INC",annulet,whois,com,BuyDomains.com,207148248143
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,6423317791
ebaseballworld,,com,1&1 IONOS SE,ionos,whois,com,,74208236169
severedties,,com,"GoDaddy.com, LLC",godaddy,whois,com,Severed Ties,1592032777
linkedin,ca,com,"MarkMonitor, Inc.",markmonitor,whois,com,LinkedIn Corporation,1081741010
mtv,,com,MarkMonitor Inc.,markmonitor,whois,com,,3421310651
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
webcindario,find-checkcloud,com,"TUCOWS, INC.",tucows,whois,com,REDACTED FOR PRIVACY,557226200
topix,,com,"Cloudflare, Inc.",cloudflare,whois,com,"Topix, LLC",1041695141
gabberface,,com,"GoDaddy.com, LLC",godaddy,whois,com,,154197109105
epodunk,,com,"GoDaddy.com, LLC",godaddy,whois,com,"MH Sub I, LLC",184168131241
yourbittorrent,,com,TLD Registrar Solutions Ltd.,tldregistrarsolutions,whois,com,Whois Privacy Corp.,1043185208
intuitwebsites,sjlcnya,com,"MarkMonitor, Inc.",markmonitor,whois,com,Intuit Inc.,10816713550
wilsonchristian,,com,1&1 IONOS SE,ionos,whois,com,Wilson Christian Academy,2323662147
the700level,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Comcast Corporation,5422516463
thefreedictionary,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242241663,209160675
himam,,club,"GoDaddy.com, LLC",godaddy,whois,com,,1270054
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",31136735
yahoo,music,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,98138219231
goal,,com,Safenames Ltd,safenames,whois,net,,1854223889
whosdatedwho,,com,INWX GmbH & Co. KG,domrobot,whois,com,,174345695
gcchotelandclub,,com,"GoDaddy.com, LLC",godaddy,whois,com,GCC HOTEL AND CLUB,160153234204
spoke,,com,"Name.com, Inc.",name,whois,com,"Domain Protection Services, Inc.",32349723
absoluteastronomy,,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,21655179243
filesdiamond,,com,Net 4 India Limited,net4domains,whois,com,Srushtitech.com Pvt. Ltd.,503114470
truth-out,,org,"Cloudflare, Inc.",cloudflare,whois,com,DATA REDACTED,10427183254
biancabeauchampallaccess,,com,"GoDaddy.com, LLC",godaddy,whois,com,,67227226240
truthforlife,,org,"Network Solutions, LLC",networksolutions,whois,com,,209151228241
absoluteastronomy,,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,21655179243
greatistanbul,,com,LIQUIDNET Ltd.,liquidnetlimited,whois,co.uk,REDACTED FOR PRIVACY,16221010259
